NIP,Label,MD,MI,MS,MC,LD,LI,LS,LC,CD,CI,CS,CC,N,G,A,L,P,I,T,V,X,S,B,O,R,D,C,Z,E,K,F,W,DA,FLX,KM,KN,KP,KV,KS,KI,LB,MB,OH,PM,SK
21777763,HSP,3,7,3,4,9,3,3,5,-6,4,0,-1,4,5,5,4,7,5,2,2,2,9,5,5,6,5,2,3,5,5,4,5,3,4,4,4,3,5,4,3,5,3,3,3,2
21797705,HD,8,3,4,2,3,4,7,4,5,-1,-3,-2,7,7,8,7,4,7,4,1,0,5,5,4,3,5,3,6,3,6,2,3,3,2,4,5,3,2,3,2,3,3,4,4,3
21807750,HRP,5,1,2,6,7,5,5,2,-2,-4,-3,4,8,4,7,7,5,7,2,3,5,4,4,4,4,4,7,4,3,4,2,2,4,2,3,5,4,4,3,2,4,3,4,3,4
21827744,Dir,6,3,3,5,8,6,2,4,-2,-3,1,1,7,2,5,8,6,1,4,7,5,4,2,4,3,7,8,1,1,4,5,6,3,2,2,5,4,5,3,3,4,2,3,2,3
21857735,HRP,4,2,4,4,5,5,4,4,-1,-3,0,0,3,7,4,5,4,5,5,6,4,5,7,2,4,4,3,6,1,4,6,8,2,2,2,2,3,3,2,3,3,2,3,3,3
21717739,HSP,7,3,4,4,6,5,4,6,1,-2,0,-2,7,5,5,5,6,2,3,4,2,0,5,2,7,7,7,6,5,5,5,6,1,4,2,3,3,5,3,2,5,3,4,3,3
21637708,HA,2,4,7,6,9,5,1,5,-7,-1,6,1,8,3,3,1,4,0,4,5,2,8,3,6,5,8,6,5,5,4,3,7,3,3,1,2,3,3,3,3,3,2,3,2,3
21787729,HA,5,4,3,6,8,2,3,5,-3,2,0,1,5,8,2,4,5,3,2,6,2,5,4,6,4,5,5,7,3,6,2,6,1,3,3,4,3,3,4,3,3,2,4,3,4
21807730,HA,5,3,6,5,4,5,8,2,1,-2,-2,3,6,9,4,5,6,5,2,1,2,6,4,8,1,8,4,5,4,3,3,4,2,2,4,2,3,1,2,3,2,2,3,4,3
21807734,HD,6,6,2,2,8,5,4,4,-2,1,-2,-2,4,3,6,7,8,8,5,4,3,3,3,3,7,2,5,7,1,5,2,5,3,3,3,1,3,4,4,4,3,3,3,3,2
21827708,VD,1,5,5,6,7,4,5,3,-6,1,0,3,8,5,5,3,4,7,5,2,4,7,2,4,3,7,5,6,1,4,2,6,3,3,2,4,4,2,4,4,3,3,4,3,3
21837708,HD,7,3,4,6,5,6,5,2,2,-3,-1,4,6,7,6,7,8,4,7,4,3,3,4,3,3,4,4,5,2,5,4,2,5,2,4,3,4,3,3,2,3,3,4,4,3
21837749,HA,3,3,7,4,6,8,2,5,-3,-5,5,-1,6,3,6,4,3,3,7,6,5,3,4,6,3,5,5,4,6,5,3,3,2,3,1,5,3,4,3,3,4,3,4,2,4
21837756,HA,6,6,2,5,6,5,2,6,0,1,0,-1,4,3,4,8,4,6,6,2,4,6,5,5,4,3,3,8,4,4,4,3,1,2,2,2,3,3,4,4,2,2,3,3,2
21857763,HSP,8,5,2,3,6,3,5,5,2,2,-3,-2,2,6,3,7,6,7,7,5,2,5,6,5,1,1,2,5,4,6,9,1,2,2,4,3,3,5,4,3,4,4,2,4,2
21727745,Dir,3,8,4,3,8,4,2,5,-5,4,2,-2,6,4,6,8,6,8,3,4,1,6,5,5,2,2,3,3,5,6,5,2,3,2,4,3,4,4,4,3,3,3,3,3,2
21737718,SSP,8,2,2,6,4,8,4,4,4,-6,-2,2,6,4,4,6,6,8,3,4,0,2,4,3,5,6,6,6,1,3,5,8,3,2,4,1,3,4,3,1,3,3,3,4,3
21807745,HA,6,7,4,3,4,8,1,5,2,-1,3,-2,3,1,6,7,7,5,4,5,4,9,3,3,4,2,2,6,6,3,4,6,3,3,3,5,3,3,2,2,4,3,2,2,2
21817776,SSP,5,5,7,2,5,2,6,4,0,3,1,-2,5,5,3,2,4,4,6,7,5,4,4,4,4,4,5,6,4,6,4,4,3,3,3,3,4,3,4,3,3,3,3,3,3
21847783,HRP,4,3,5,4,8,3,3,5,-4,0,2,-1,5,5,4,2,4,0,3,4,3,8,6,7,8,6,7,8,2,4,1,3,3,3,3,4,3,5,3,3,4,2,3,3,3
21857736,HD,2,1,4,7,5,5,3,5,-3,-4,1,2,7,5,3,2,7,4,3,4,0,6,5,5,7,9,3,6,2,6,5,7,3,3,2,1,4,2,3,3,2,2,3,3,3
21887726,HA,8,4,2,4,5,2,7,5,3,2,-5,-1,3,3,8,7,6,7,7,2,6,6,6,5,4,3,5,5,1,3,1,2,2,2,4,3,4,4,3,3,2,4,3,3,3
21777764,HSP,8,1,2,5,9,4,2,3,-1,-3,0,2,5,5,9,8,5,4,4,2,3,5,5,2,4,4,5,4,4,5,2,5,3,3,2,3,4,5,2,3,3,2,3,2,4
21777765,HRP,1,6,7,5,13,2,2,3,-12,4,5,2,6,2,4,0,5,3,3,4,3,8,5,7,4,7,8,7,6,2,3,8,2,3,3,4,3,4,3,3,4,2,3,3,2
21817723,HSP,7,4,3,1,8,3,2,4,-1,1,1,-3,8,5,7,8,6,7,4,4,2,3,5,2,5,2,5,4,2,2,3,6,3,3,4,4,3,5,3,3,4,4,4,3,3
21827775,Dir,6,0,3,7,2,10,2,3,4,-10,1,4,5,4,9,8,7,6,3,3,4,0,2,3,8,3,4,5,6,2,5,3,3,2,2,5,3,5,2,2,5,3,3,3,4
21847766,HSP,7,0,1,5,5,11,3,1,2,-11,-2,4,7,5,6,7,8,6,3,1,1,0,6,2,8,8,4,5,3,3,2,5,4,2,4,1,4,3,2,1,2,3,4,4,3
21867737,HRP,5,3,7,2,6,4,6,3,-1,-1,1,-1,7,6,4,9,4,2,4,1,3,6,5,3,7,0,6,3,4,5,6,5,3,4,1,5,3,4,3,3,3,3,4,3,3
21867793,HSP,2,2,10,7,6,6,4,1,-4,-4,6,6,5,2,4,2,6,5,3,4,4,5,1,4,7,7,4,6,6,4,5,6,2,3,2,3,3,1,2,3,2,2,3,2,4
21877742,HD,7,4,3,4,6,6,3,4,1,-2,0,0,9,6,8,8,6,3,5,2,3,4,2,2,6,4,4,5,3,2,4,5,4,3,2,3,3,5,3,3,4,3,4,2,3
21637709,VD,0,8,8,3,11,4,0,5,-11,4,8,-2,7,4,3,6,4,3,2,2,2,7,4,8,7,2,8,6,4,3,3,5,3,4,4,3,3,4,3,3,4,2,3,3,3
21727728,HRP,5,2,6,3,9,2,0,5,-4,0,6,-2,4,7,5,8,7,2,3,6,0,5,5,4,7,2,2,6,3,3,3,8,2,3,4,1,3,1,4,3,2,3,3,3,2
21727735,HSP,2,4,7,5,11,3,0,4,-9,1,7,1,8,6,5,3,5,3,2,5,3,8,4,6,5,4,4,4,5,3,1,6,2,3,3,1,4,3,4,3,2,3,4,3,3
21777711,HSP,5,3,1,9,8,5,2,3,-3,-2,-1,6,7,7,4,4,6,1,4,4,2,6,3,4,8,4,5,3,2,5,4,7,5,2,2,3,4,4,3,3,3,2,4,3,4
21767725,HA,4,7,2,4,6,6,5,3,-2,1,-3,1,4,5,3,7,5,7,2,3,4,4,0,7,6,2,7,8,2,5,4,5,4,3,4,2,3,4,2,3,3,2,3,3,3
21787713,HD,5,7,5,0,7,3,4,3,-2,4,1,-3,4,7,3,2,5,6,5,1,4,5,4,6,5,4,4,6,6,5,3,6,2,4,2,3,2,4,4,4,3,2,3,3,2
